,incl [deg],c,b,R^2
452,46.2,474.1712234,-0.831871994,0.992683434
453,46.3,478.5505296,-0.833082058,0.992572479
454,46.4,471.5758689,-0.831195334,0.992172442
455,46.5,474.2414948,-0.832011225,0.991995499
456,46.6,473.4495676,-0.831796706,0.991574746
457,46.7,471.8594498,-0.831482511,0.991127645
458,46.8,473.4475161,-0.831997655,0.991057878
459,46.9,472.0627354,-0.83170036,0.991181506
460,47,472.7790962,-0.831956711,0.991293332
461,47.1,470.555392,-0.831474259,0.99150331
462,47.2,470.3947475,-0.831343221,0.991728828
463,47.3,469.0850131,-0.831095619,0.991624435
464,47.4,464.7095143,-0.830062807,0.991627337
465,47.5,466.7800579,-0.830615851,0.991960151
466,47.6,466.4496908,-0.830538615,0.992142803
467,47.7,468.558742,-0.831214813,0.992314754
468,47.8,466.4101327,-0.830594823,0.992477096
469,47.9,469.5519921,-0.831462053,0.992722427
470,48,469.911019,-0.831489334,0.992893231
471,48.1,467.7646189,-0.830851327,0.992895543
472,48.2,469.1148916,-0.831412328,0.99271457
473,48.3,469.1622495,-0.831561682,0.992616935
474,48.4,464.6476042,-0.830321765,0.992418837
475,48.5,466.5594629,-0.830948056,0.992203689
476,48.6,461.6433819,-0.82959053,0.991752065
477,48.7,465.4780257,-0.830843905,0.991508887
478,48.8,465.5793506,-0.830934857,0.991123732
479,48.9,462.5636201,-0.830021537,0.990724251
480,49,464.1080551,-0.83055728,0.990326532
481,49.1,465.418617,-0.830961789,0.990072998
482,49.2,466.2725904,-0.831210079,0.990017548
483,49.3,464.7063511,-0.830880042,0.990012512
484,49.4,466.6041436,-0.831496022,0.990446765
485,49.5,462.5259648,-0.830502571,0.9905176
486,49.6,462.4286257,-0.830419811,0.99085968
487,49.7,467.8726169,-0.831995786,0.991483364
488,49.8,465.0165383,-0.831231384,0.99158503
489,49.9,462.8072577,-0.830620525,0.991890252
490,50,463.9894132,-0.830967518,0.992256091
491,50.1,466.2249615,-0.831711039,0.992468963
492,50.2,457.1490563,-0.829244422,0.992312072
493,50.3,458.0998046,-0.829459923,0.992421096
494,50.4,457.2844833,-0.829330447,0.992601841
495,50.5,458.1741445,-0.829804032,0.992581591
496,50.6,457.677438,-0.829730675,0.99241335
497,50.7,453.4492406,-0.82857821,0.992175222
498,50.8,451.9134739,-0.828245844,0.991799579
499,50.9,449.6601505,-0.82768658,0.991432665
500,51,452.062913,-0.828407625,0.991344009
501,51.1,447.8063455,-0.827173916,0.990950174
502,51.2,448.8474748,-0.827734494,0.990610858
503,51.3,451.3770619,-0.82852564,0.990055809
504,51.4,451.8997365,-0.828688588,0.989788117
505,51.5,446.9674518,-0.827358747,0.989308631
506,51.6,451.6406085,-0.828670893,0.989102728
507,51.7,459.3564984,-0.830790062,0.989092342
508,51.8,455.1323935,-0.829686878,0.988838136
509,51.9,458.9580058,-0.830911146,0.988811925
510,52,457.5155399,-0.830389193,0.989361126
511,52.1,454.7144679,-0.829580534,0.989746989
512,52.2,455.4396736,-0.829819774,0.990313564
513,52.3,459.8208173,-0.831060421,0.99105496
514,52.4,455.2545251,-0.829952401,0.990878432
515,52.5,454.4425675,-0.829783016,0.991310723
516,52.6,457.3466129,-0.830751386,0.991645415
517,52.7,448.2552934,-0.828193528,0.991782554
518,52.8,450.8261752,-0.828989678,0.991998375
519,52.9,450.5599248,-0.829031669,0.991997672
520,53,449.5876208,-0.828933494,0.992234979
521,53.1,441.0044067,-0.826682536,0.991980536
522,53.2,444.1856152,-0.827665243,0.991949265
523,53.3,435.7553899,-0.825188877,0.991595427
524,53.4,434.8148054,-0.824963728,0.991233593
525,53.5,430.9616763,-0.824032475,0.991236924
526,53.6,433.3030289,-0.824930702,0.990897029
527,53.7,432.3900384,-0.824664446,0.990638854
528,53.8,430.5324234,-0.824242143,0.99011522
529,53.9,429.7708583,-0.824083735,0.989464226
530,54,430.2295481,-0.824390322,0.989235824
531,54.1,426.3244429,-0.823250403,0.988667617
532,54.2,428.1111439,-0.823811164,0.988732873
533,54.3,438.2290012,-0.826888275,0.988994966
534,54.4,433.8507482,-0.825544332,0.988438929
535,54.5,441.3482782,-0.827725046,0.988859507
536,54.6,433.7406332,-0.825429683,0.988330799
537,54.7,443.5259234,-0.828410014,0.988379421
538,54.8,446.1200882,-0.829135194,0.988561837
539,54.9,450.5363077,-0.830421094,0.988473001
540,55,450.0821115,-0.830268376,0.988393724
541,55.1,451.6108733,-0.830728736,0.989038823
542,55.2,452.6628941,-0.831030243,0.989692935
543,55.3,446.1552803,-0.829214898,0.989933181
544,55.4,442.818315,-0.828432839,0.990222652
545,55.5,444.8548979,-0.829173051,0.990352604
546,55.6,440.1881325,-0.827704951,0.990662182
547,55.7,443.563696,-0.829062419,0.991007428
548,55.8,439.9082249,-0.828218196,0.991084236
549,55.9,437.4147513,-0.827572893,0.991366042
550,56,431.8141223,-0.825815943,0.991325268
551,56.1,428.4802311,-0.825278835,0.991151397
552,56.2,426.9349761,-0.824918614,0.990803866
553,56.3,420.9171064,-0.823322109,0.9906896
554,56.4,423.688449,-0.824298309,0.990837294
555,56.5,420.6312506,-0.823496219,0.99049093
556,56.6,419.2541401,-0.823168384,0.990106235
557,56.7,419.5628158,-0.823463895,0.989750144
558,56.8,416.792387,-0.822718951,0.989363095
559,56.9,413.3018409,-0.821749592,0.988833509
560,57,411.4527911,-0.821221245,0.988389339
561,57.1,413.9466374,-0.822350126,0.98833505
562,57.2,413.5957261,-0.822003392,0.988410935
563,57.3,415.0726192,-0.822433685,0.988504612
564,57.4,415.1849329,-0.822465583,0.988353209
565,57.5,420.5368397,-0.824337498,0.988426625
566,57.6,419.9400295,-0.8242311,0.988170386
567,57.7,425.6410013,-0.825869061,0.988227911
568,57.8,425.5680611,-0.825882848,0.988594185
569,57.9,426.836883,-0.826236852,0.98874164
570,58,433.4938145,-0.828237285,0.988517024
571,58.1,435.5800546,-0.828970215,0.988532374
572,58.2,434.1902375,-0.82851449,0.988524543
573,58.3,444.4357086,-0.831497582,0.988698923
574,58.4,440.4936867,-0.830414148,0.988364806
575,58.5,444.6151103,-0.831678258,0.988465361
576,58.6,444.7702859,-0.831732801,0.988510847
577,58.7,447.47291,-0.8326956,0.98883094
578,58.8,444.7339644,-0.831893078,0.989108328
579,58.9,442.2528014,-0.83129174,0.988963812
580,59,435.2766611,-0.82957597,0.98934346
581,59.1,432.770247,-0.828801058,0.989866184
582,59.2,433.6392954,-0.829234712,0.990120501
583,59.3,432.9777492,-0.829291991,0.990038454
584,59.4,426.6690517,-0.827477887,0.990058386
585,59.5,423.7350642,-0.826917728,0.989891681
586,59.6,417.0969998,-0.825154093,0.989797388
587,59.7,416.2408023,-0.825156626,0.989832531
588,59.8,411.6667501,-0.823815348,0.989465035
589,59.9,406.5608203,-0.822303498,0.989070524
590,60,403.2436201,-0.821654152,0.98904085
591,60.1,400.6385071,-0.820948302,0.988720835
592,60.2,398.9367036,-0.820589085,0.988330454
593,60.3,396.8539974,-0.820123089,0.987206878
594,60.4,394.4691626,-0.819602003,0.987391369
595,60.5,391.8583603,-0.818784077,0.987550659
596,60.6,395.1831535,-0.819822702,0.987199598
597,60.7,400.7364542,-0.821800737,0.987320678
598,60.8,396.4686063,-0.82040493,0.987409091
599,60.9,399.520752,-0.821585083,0.987593388
600,61,399.8675009,-0.82165983,0.987400589
601,61.1,399.6047995,-0.821744164,0.987211885
602,61.2,400.0092244,-0.821956367,0.987383643
603,61.3,400.9583306,-0.82242841,0.987651504
604,61.4,408.0559787,-0.82462481,0.987695857
605,61.5,408.3535094,-0.824818947,0.987477968
606,61.6,411.9768281,-0.825921782,0.987636037
607,61.7,412.3615291,-0.826108069,0.987731273
608,61.8,415.3980154,-0.827032966,0.987791346
609,61.9,411.9781108,-0.826051117,0.987670108
610,62,412.3108664,-0.826261272,0.98775196
611,62.1,422.1281067,-0.829369738,0.987997165
612,62.2,419.3602888,-0.828391903,0.988008981
613,62.3,418.6399942,-0.82824507,0.987762023
614,62.4,423.4258093,-0.829910967,0.987941264
615,62.5,426.8303879,-0.830998925,0.987879751
616,62.6,436.0067016,-0.833717818,0.987774573
617,62.7,434.234483,-0.833157694,0.987907043
618,62.8,436.6846953,-0.833768099,0.987904435
619,62.9,433.515264,-0.833027109,0.987764953
620,63,438.922674,-0.834703263,0.9885147
621,63.1,438.2231463,-0.834646404,0.988805565
622,63.2,434.7288065,-0.833771799,0.98893016
623,63.3,429.2035757,-0.832243551,0.989180252
624,63.4,425.5118351,-0.831580381,0.988472379
625,63.5,420.5190427,-0.830159486,0.988269011
626,63.6,418.2631296,-0.829740302,0.98800234
627,63.7,415.1395187,-0.829132029,0.987894596
628,63.8,399.9623257,-0.824675956,0.987870897
629,63.9,397.5618879,-0.824165106,0.987765678
630,64,399.4500447,-0.824917751,0.987133147
631,64.1,392.999028,-0.823058018,0.987091868
632,64.2,385.6678007,-0.821302299,0.986932086
633,64.3,379.9865139,-0.819451364,0.986486346
634,64.4,373.7533436,-0.817644737,0.985671798
635,64.5,374.6434315,-0.818092069,0.984794046
636,64.6,375.9774067,-0.818761134,0.984960922
637,64.7,372.7820406,-0.817756825,0.985430157
638,64.8,375.4615189,-0.818818669,0.985609581
639,64.9,371.4209163,-0.817558371,0.984898136
640,65,375.1861298,-0.819019644,0.984720139
641,65.1,382.2075819,-0.821473032,0.985086487
642,65.2,379.379242,-0.820513041,0.985352272
643,65.3,380.2168482,-0.820908808,0.985695824
644,65.4,377.7066423,-0.820257175,0.985416312
645,65.5,383.5981275,-0.822290911,0.985910799
646,65.6,379.349602,-0.820970624,0.986142822
647,65.7,384.7445769,-0.823179376,0.985953693
648,65.8,381.6340828,-0.821793302,0.985961765
649,65.9,382.7379171,-0.822322551,0.98573912
650,66,388.7625917,-0.824472772,0.98598005
651,66.1,388.6730979,-0.824431927,0.986155356
652,66.2,394.3468274,-0.826508944,0.986743388
653,66.3,390.2648453,-0.82525182,0.986487263
654,66.4,388.9912943,-0.824874174,0.986742981
655,66.5,391.2008359,-0.825991242,0.986575301
656,66.6,396.0810833,-0.827548784,0.986475189
657,66.7,392.4075178,-0.826325262,0.986832984
658,66.8,395.3534562,-0.82730933,0.987007057
659,66.9,395.7060822,-0.827604318,0.987129109
660,67,397.6904739,-0.828414461,0.987148702
661,67.1,403.5221388,-0.830208483,0.987049291
662,67.2,404.6502999,-0.830727028,0.986733911
663,67.3,408.2677726,-0.83203445,0.987109529
664,67.4,404.8630656,-0.830960462,0.987067731
665,67.5,408.4479059,-0.832033061,0.987413665
666,67.6,417.0563668,-0.834922988,0.987791158
667,67.7,408.1666487,-0.832219358,0.98744594
668,67.8,410.9544055,-0.833521974,0.987410734
669,67.9,410.1051823,-0.83293279,0.987408178
670,68,419.8086497,-0.836117775,0.987736658
671,68.1,415.6811813,-0.834948162,0.987602147
672,68.2,419.9299901,-0.836460392,0.987268348
673,68.3,423.998843,-0.837718899,0.988068309
674,68.4,415.619543,-0.835281954,0.988064062
675,68.5,414.7696839,-0.835572479,0.988075047
676,68.6,404.2740685,-0.832577943,0.987120967
677,68.7,396.2878522,-0.830351388,0.986798892
678,68.8,382.2513682,-0.8260165,0.986394857
679,68.9,388.568747,-0.828594374,0.985871475
680,69,383.0000353,-0.826838548,0.98446037
681,69.1,374.7536344,-0.824287446,0.983625371
682,69.2,365.0432134,-0.821583772,0.984140581
683,69.3,365.8775275,-0.822369257,0.983748025
684,69.4,356.4118252,-0.819171632,0.982769913
685,69.5,350.0900535,-0.817228189,0.981691644
686,69.6,354.5380244,-0.819184369,0.981070645
687,69.7,353.036463,-0.818796563,0.981590768
688,69.8,357.8764824,-0.820597698,0.981541764
689,69.9,351.0900956,-0.818276484,0.982192419
690,70,349.5053592,-0.818013193,0.982603732
691,70.1,348.8121977,-0.817832585,0.981898612
692,70.2,355.4112311,-0.820638849,0.981215722
693,70.3,357.6620919,-0.821475832,0.98235103
694,70.4,360.0006446,-0.822506936,0.983336914
695,70.5,354.4184378,-0.82067683,0.983044351
696,70.6,353.4769838,-0.820384964,0.982963516
697,70.7,352.6625919,-0.820254305,0.982336046
698,70.8,355.7079739,-0.821620597,0.982714594
699,70.9,351.4152241,-0.820221143,0.983187406
700,71,353.9985473,-0.821221117,0.983733598
701,71.1,361.5088217,-0.824158242,0.983147326
702,71.2,354.4416695,-0.821649725,0.983623956
703,71.3,361.1820083,-0.824463319,0.982996952
704,71.4,364.6990244,-0.825683895,0.983968186
705,71.5,363.3927146,-0.825541328,0.984095421
706,71.6,358.6900287,-0.824040348,0.984059476
707,71.7,352.5740602,-0.821908945,0.984692202
708,71.8,359.2176146,-0.824466966,0.984533033
709,71.9,352.4090327,-0.822290805,0.984502778
710,72,359.7345833,-0.825021155,0.985427069
711,72.1,358.7491344,-0.824944764,0.985052935
712,72.2,361.0686786,-0.825717827,0.98471462
713,72.3,363.4440849,-0.82680532,0.984463319
714,72.4,366.5641475,-0.828232378,0.984859071
715,72.5,362.1318119,-0.826653478,0.9854337
716,72.6,367.6752645,-0.828741604,0.985623775
717,72.7,364.3779189,-0.827708204,0.984854244
718,72.8,373.942261,-0.831319363,0.985543722
719,72.9,366.6385429,-0.828971489,0.985151723
720,73,371.1081808,-0.830745477,0.985523404
721,73.1,374.4559742,-0.83197548,0.986140107
722,73.2,380.3551879,-0.834023024,0.985989364
723,73.3,382.9918495,-0.83504145,0.986370258
724,73.4,381.2835873,-0.834502319,0.986221876
725,73.5,372.8521001,-0.831985258,0.985889178
726,73.6,382.6496895,-0.835544846,0.986299146
727,73.7,380.9514389,-0.835006718,0.98628309
728,73.8,385.0637511,-0.836726435,0.9865038
729,73.9,382.789666,-0.835880014,0.986346848
730,74,387.6312945,-0.837746035,0.986807045
731,74.1,390.5328709,-0.838925187,0.987262284
732,74.2,388.2422069,-0.838168916,0.986883981
733,74.3,388.1498793,-0.838142197,0.9870922
734,74.4,389.801506,-0.839032467,0.987136836
735,74.5,386.2501543,-0.838105152,0.987099214
736,74.6,394.4704701,-0.840853618,0.986966965
737,74.7,388.9462444,-0.83911864,0.987304021
738,74.8,394.4666313,-0.84152565,0.987978653
739,74.9,394.8573924,-0.841883369,0.987968732
740,75,376.1061812,-0.836161068,0.985939439
741,75.1,368.1701449,-0.833953356,0.984511503
742,75.2,358.5195082,-0.831141535,0.983827249
743,75.3,355.4389491,-0.830490964,0.982470826
744,75.4,347.7274987,-0.828306518,0.981248027
745,75.5,336.7374766,-0.824588164,0.980346383
746,75.6,333.4876152,-0.823997388,0.97908547
747,75.7,330.1021147,-0.822867861,0.977627034
748,75.8,322.8921017,-0.820836179,0.978191009
749,75.9,318.0892757,-0.819222742,0.97822849
750,76,314.8512978,-0.817957594,0.978684935
751,76.1,319.7559517,-0.820301408,0.978620626
752,76.2,325.6188418,-0.82261623,0.977354523
753,76.3,325.0645948,-0.822610886,0.978186779
754,76.4,326.5397608,-0.823536875,0.979178157
755,76.5,323.0912865,-0.822529549,0.980027203
756,76.6,318.0559273,-0.820742308,0.978645606
757,76.7,323.1769334,-0.822807238,0.978994812
758,76.8,321.4145613,-0.822620933,0.979537243
759,76.9,322.6675978,-0.823195387,0.978836054
760,77,320.8664802,-0.822814106,0.979483517
761,77.1,314.5452949,-0.820626899,0.978978758
762,77.2,324.4593941,-0.824883349,0.979050791
763,77.3,313.980018,-0.821019941,0.979953982
764,77.4,315.1509753,-0.82184365,0.980544033
765,77.5,324.0676724,-0.825443844,0.979508204
766,77.6,323.3200189,-0.825500173,0.979840116
767,77.7,320.0440119,-0.824698628,0.980962552
768,77.8,320.5055131,-0.825071269,0.980929188
769,77.9,317.2313284,-0.824129792,0.980173367
770,78,322.8265739,-0.826532821,0.979768672
771,78.1,321.4248101,-0.826198878,0.980948681
772,78.2,314.94524,-0.823965253,0.982095404
773,78.3,314.4965154,-0.82389894,0.98132393
774,78.4,317.4448204,-0.825334319,0.980972169
775,78.5,322.1903983,-0.827479235,0.981494971
776,78.6,315.6174429,-0.825131626,0.98124478
777,78.7,312.9818756,-0.82465508,0.982749255
778,78.8,315.635218,-0.826062836,0.982999663
779,78.9,314.5923602,-0.825759642,0.982499408
780,79,315.4184612,-0.826058759,0.981715073
781,79.1,320.7066018,-0.82859986,0.982520271
782,79.2,318.6616453,-0.828094305,0.982753289
783,79.3,317.3535289,-0.828265508,0.982996507
784,79.4,320.2047742,-0.829694432,0.98286886
785,79.5,315.8763907,-0.828044586,0.983578219
786,79.6,317.0892931,-0.828911432,0.983370427
787,79.7,316.6709073,-0.829202442,0.984374529
788,79.8,318.8233947,-0.830027269,0.984589442
789,79.9,318.5031438,-0.830242037,0.983980426
790,80,315.3521732,-0.829329076,0.98370258
791,80.1,321.6288054,-0.832316908,0.984401873
792,80.2,321.9679445,-0.832546862,0.985350494
793,80.3,320.9616332,-0.832561889,0.985487343
794,80.4,326.3779772,-0.835119375,0.985222146
795,80.5,334.3608856,-0.838549678,0.985114882
796,80.6,322.4919757,-0.833805463,0.985437096
797,80.7,331.9456716,-0.838099136,0.985848242
798,80.8,327.5864291,-0.836577057,0.985608306
799,80.9,340.532307,-0.842039155,0.98634472
800,81,337.268787,-0.84102569,0.986287057
801,81.1,332.2148951,-0.839412711,0.986648871
802,81.2,333.1032963,-0.840124184,0.986680687
803,81.3,341.9160049,-0.843641194,0.986323673
804,81.4,333.5963796,-0.840566176,0.986474981
805,81.5,340.9828604,-0.843895063,0.986554107
806,81.6,341.5556388,-0.844363469,0.986961846
807,81.7,348.8552931,-0.847496924,0.98690838
808,81.8,351.425976,-0.849247046,0.987050004
809,81.9,350.7300629,-0.848793315,0.987507243
810,82,348.9397396,-0.848059128,0.986897739
811,82.1,349.6135893,-0.848976038,0.98684074
812,82.2,359.1652142,-0.852726235,0.987412225
813,82.3,354.0385864,-0.851047105,0.987423882
814,82.4,361.7493874,-0.854076287,0.987557735
815,82.5,361.4185106,-0.854198299,0.987581559
816,82.6,361.963686,-0.855011432,0.988478967
817,82.7,352.9240438,-0.852225897,0.988526666
818,82.8,352.2072163,-0.852938233,0.986460633
819,82.9,327.0472642,-0.844234142,0.983982823
820,83,311.5492179,-0.838994723,0.98131833
821,83.1,296.7734648,-0.834026569,0.979301955
822,83.2,284.9419718,-0.829916623,0.978823509
823,83.3,266.4465945,-0.822269742,0.977968429
824,83.4,267.6921202,-0.82376741,0.977100749
825,83.5,270.1266591,-0.825893511,0.976599607
826,83.6,270.2549673,-0.826325935,0.976305994
827,83.7,265.7264567,-0.824776334,0.976805665
828,83.8,259.5446081,-0.822014526,0.976833091
829,83.9,265.8984327,-0.825878327,0.975257801
830,84,260.8245144,-0.824099489,0.976346502
831,84.1,258.4081827,-0.823425354,0.976832902
832,84.2,257.4616477,-0.823134931,0.975606299
833,84.3,256.4815079,-0.823497153,0.976003411
834,84.4,255.696039,-0.823628944,0.97769093
835,84.5,255.7730376,-0.824393438,0.978119171
836,84.6,252.9717868,-0.823340985,0.977300366
837,84.7,249.1363602,-0.822147287,0.977137168
838,84.8,257.7036116,-0.827098307,0.977318497
839,84.9,249.2978231,-0.823597713,0.977366829
840,85,256.5121232,-0.828228379,0.977899495
841,85.1,248.7173293,-0.824412597,0.978450544
842,85.2,250.618121,-0.826073926,0.97817667
843,85.3,254.5290513,-0.828931213,0.978825583
844,85.4,253.7134534,-0.829238638,0.977994331
845,85.5,233.9108391,-0.819118054,0.978320257
846,85.6,238.7890561,-0.822662856,0.979616225
847,85.7,239.3177786,-0.823624145,0.979421787
848,85.8,239.627282,-0.824237353,0.979479024
849,85.9,241.4089036,-0.826074108,0.980008284
850,86,251.5560418,-0.832611462,0.98082719
851,86.1,243.5687234,-0.829269604,0.98143417
852,86.2,244.9621123,-0.83053444,0.981234722
853,86.3,245.6110219,-0.831615064,0.981342427
854,86.4,237.7119742,-0.827867133,0.982034206
855,86.5,233.7813902,-0.826820597,0.982165442
856,86.6,234.9269057,-0.828268613,0.982300571
857,86.7,234.8054265,-0.829058207,0.983367785
858,86.8,239.1237534,-0.832082134,0.983568233
859,86.9,238.0338938,-0.83244183,0.983748013
860,87,237.4861968,-0.83322818,0.984332022
861,87.1,237.4219171,-0.833985219,0.985072259
862,87.2,236.8170801,-0.834614904,0.985321996
863,87.3,241.6451239,-0.838095656,0.985874276
864,87.4,244.8419196,-0.840805622,0.986030538
865,87.5,247.4608834,-0.842965056,0.986491236
866,87.6,241.6532969,-0.84074232,0.986265078
867,87.7,249.6776462,-0.84603775,0.986638605
868,87.8,254.304811,-0.849647,0.987369758
869,87.9,256.7971296,-0.851680145,0.987502828
870,88,263.9219017,-0.856364772,0.987935158
871,88.1,262.2644762,-0.856301561,0.987977447
872,88.2,260.9681959,-0.856737685,0.987722813
873,88.3,282.5442423,-0.868461339,0.988661875
874,88.4,301.3502063,-0.878011545,0.98928223
875,88.5,305.3670966,-0.880607223,0.98979625
876,88.6,311.0803513,-0.883677521,0.989739724
877,88.7,333.3907099,-0.893985152,0.990508114
878,88.8,329.008586,-0.892722871,0.99013268
879,88.9,367.885187,-0.908564003,0.992077806
880,89,394.0344758,-0.918297418,0.993103097
881,89.1,404.9047017,-0.92245568,0.993532425
882,89.2,473.8954317,-0.944323695,0.995831811
883,89.3,506.5100893,-0.95341907,0.996921033
884,89.4,532.1251054,-0.960684235,0.99683975
885,89.5,521.1534214,-0.959711042,0.983633539
886,89.6,453.3397223,-0.945107903,0.9414012
887,89.7,309.8205593,-0.902314132,0.867844863
888,89.8,156.1072932,-0.825251766,0.858646845
889,89.9,36.92473546,-0.661986838,0.947232745
890,90,361.8360891,-1.000664541,0.999927072
891,90.1,36.92472079,-0.661985124,0.947237828
892,90.2,155.3525403,-0.824606069,0.859158374
893,90.3,309.5727378,-0.90220799,0.867915333
894,90.4,453.0401475,-0.94501577,0.941420392
895,90.5,520.2845751,-0.959489689,0.983663428
896,90.6,530.9765621,-0.96039778,0.996829012
897,90.7,505.7290036,-0.953212749,0.996903713
898,90.8,475.1765259,-0.944691415,0.995866137
899,90.9,406.1595762,-0.922878182,0.993582716
